v.id,on road old,on road now,years,km,rating,condition,economy,top speed,hp,torque,current price
1,535651,798186,3,78945,1,2,14,177,73,123,351318
2,591911,861056,6,117220,5,9,9,148,74,95,285001.5
3,686990,770762,2,132538,2,8,15,181,53,97,215386
4,573999,722381,4,101065,4,3,11,197,54,116,244295.5
5,691388,811335,6,61559,3,9,12,160,53,105,531114.5
6,650007,844846,6,148846,2,9,13,138,61,109,177933.5
7,633344,756063,5,78025,1,9,15,171,94,132,410877
8,662990,891569,6,76546,1,2,12,146,109,96,467471.5
9,543184,841354,7,57662,4,7,14,151,50,132,462397.5
10,573043,879481,2,132347,2,3,12,200,115,82,197266
11,669458,782853,7,106819,2,5,12,164,87,113,292308.5
12,668839,802272,6,117221,5,2,9,187,74,87,264576.5
13,619831,780397,4,53513,3,9,13,174,81,92,515454
14,539406,891627,6,86704,1,7,15,175,118,107,373529
15,502932,874387,7,51547,2,1,9,146,60,107,474281.5
16,658177,759879,7,70564,1,10,15,176,74,119,468666
17,556598,849902,4,130514,3,9,15,189,120,133,210661.5
18,583560,882426,4,115576,2,6,14,195,69,93,274357.5
19,671058,843316,5,79458,5,1,14,156,84,132,439639.5
20,652172,832672,2,140673,4,8,10,153,73,86,196816
21,560976,719003,7,130523,5,5,10,187,75,129,112864.5
22,582509,866266,6,81194,5,9,11,182,95,139,427079
23,630883,744258,6,94437,5,9,15,176,84,126,337327
24,519144,886024,6,139685,2,2,11,163,52,121,140216.5
25,651106,779208,4,53137,3,8,8,191,109,121,518845
26,577040,723283,3,74489,1,9,8,179,96,136,381846.5
27,529558,833873,4,85911,1,3,13,145,79,78,337917
28,604287,786970,4,100572,3,9,12,141,63,71,322684
29,667905,842018,7,143488,4,4,12,142,74,74,173847
30,503327,873403,7,101416,3,8,9,171,77,128,291031.5
31,519972,887661,2,90429,5,6,13,137,82,111,347784.5
32,624535,801702,5,67075,1,8,15,138,110,75,459914.5
33,697680,705256,7,129855,2,6,9,157,92,70,177748.5
34,639183,859130,2,146017,4,4,9,162,55,75,166283
35,630489,717182,5,96226,1,9,8,191,101,94,317119
36,607617,805462,7,125676,2,3,15,164,87,93,195854
37,531436,700159,4,121583,4,4,10,196,108,108,130233.5
38,508335,757721,6,54003,2,7,11,160,106,80,421781
39,523294,762865,3,94258,1,10,11,173,101,120,316184
40,669414,825723,4,124136,3,3,10,159,50,90,250955
41,595967,873068,5,85276,5,6,11,157,84,79,397522
42,623158,878859,6,74674,5,1,10,158,83,81,450198.5
43,623187,851197,6,111922,3,9,13,193,59,140,315542.5
44,578908,850550,7,72391,5,8,15,163,81,130,435007.5
45,510868,804221,2,129439,2,4,15,153,106,107,140596
46,645738,863715,4,103761,4,10,11,162,107,96,389925.5
47,645596,719594,3,97328,4,2,8,154,64,90,293875.5
