step,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,CASH_IN,CASH_OUT,DEBIT,PAYMENT,TRANSFER,isFlaggedFraud,isFraud
139,265803.35,0,0,751669.39,1017472.74,0,1,0,0,0,0,0
589,11278.28,0,0,220970.84,232249.12,0,1,0,0,0,0,0
284,16363.06,35966.16,19603.1,0,0,0,0,0,1,0,0,0
37,107223.31,20752629.71,20859853.02,804594.62,571711.22,1,0,0,0,0,0,0
287,3678.25,0,0,0,0,0,0,0,1,0,0,0
231,164337.58,32911,0,564495.37,728832.94,0,1,0,0,0,0,0
379,3482.61,122231,118748.39,0,0,0,0,0,1,0,0,0
210,17428.56,102995,85566.44,0,0,0,0,0,1,0,0,0
328,60911.42,14912625.25,14973536.67,576537.39,515625.96,1,0,0,0,0,0,0
326,10784.37,8042,0,0,0,0,0,0,1,0,0,0
133,195625.18,0,0,461536.01,657161.19,0,0,0,0,1,0,0
690,21741.62,195768.98,174027.36,0,0,0,0,0,1,0,0,0
134,130532.99,3790,134322.99,0,0,1,0,0,0,0,0,0
400,252456.28,31257,0,4852258.87,5104715.15,0,1,0,0,0,0,0
155,111702.91,0,0,760608.19,872311.1,0,1,0,0,0,0,0
383,14258.05,312,0,0,0,0,0,0,1,0,0,0
399,2841108.08,20343,0,0,2841108.08,0,0,0,0,1,0,0
371,681790.33,0,0,4587059.03,5268849.36,0,0,0,0,1,0,0
177,61705.21,0,0,7279623.43,7341328.64,0,1,0,0,0,0,0
33,5176.47,0,0,0,0,0,0,0,1,0,0,0
334,11905.26,0,0,0,0,0,0,0,1,0,0,0
39,366106.01,99368,0,5206091.36,5572197.37,0,1,0,0,0,0,0
321,337481.65,100114,0,0,337481.65,0,1,0,0,0,0,0
226,433013.17,0,0,2546516.74,2979529.91,0,1,0,0,0,0,0
474,4866.31,0,0,0,0,0,0,0,1,0,0,0
43,98449.87,70979,169428.87,594485.06,496035.2,1,0,0,0,0,0,0
153,150505.07,3341534.56,3492039.62,2692033.62,2541528.55,1,0,0,0,0,0,0
346,90447.39,8082104.31,8172551.7,7818477.55,7728030.17,1,0,0,0,0,0,0
283,52317.66,71743.55,124061.22,1269392.75,1217075.09,1,0,0,0,0,0,0
9,5229.27,0,0,0,0,0,0,0,1,0,0,0
330,974874.53,0,0,12372657.9,13347532.43,0,0,0,0,1,0,0
258,708115.57,63188,0,9829.23,717944.81,0,0,0,0,1,0,0
619,4240.53,0,0,0,0,0,0,0,1,0,0,0
345,13129.59,21752,8622.41,0,0,0,0,0,1,0,0,0
298,77257.92,0,0,3586840.62,3664098.54,0,1,0,0,0,0,0
380,17328.79,0,0,0,0,0,0,0,1,0,0,0
302,4631.85,0,0,0,0,0,0,0,1,0,0,0
408,95594.06,5826027.56,5921621.63,6221585.78,6125991.72,1,0,0,0,0,0,0
260,26598.47,3322,29920.47,567363.53,540765.06,1,0,0,0,0,0,0
212,129972.13,287012,157039.87,3532176.12,3662148.25,0,1,0,0,0,0,0
212,467254.04,3984754.73,4452008.77,5063386.49,4596132.44,1,0,0,0,0,0,0
13,133407.51,0,0,2095384.09,1597947.73,0,1,0,0,0,0,0
321,11088.16,0,0,64187.82,75275.98,0,1,0,0,0,0,0
204,87232.93,3287354.94,3374587.87,774740.32,687507.39,1,0,0,0,0,0,0
207,219068.27,0,0,552330.78,771399.06,0,1,0,0,0,0,0
309,25567.75,165693.06,140125.31,0,0,0,0,0,1,0,0,0
139,22139.78,0,0,498299.42,520439.19,0,1,0,0,0,0,0
346,88970.8,18862.6,0,217104.14,306074.94,0,1,0,0,0,0,0
130,202327.21,63156,0,0,202327.21,0,1,0,0,0,0,0
95,11624.41,0,0,0,0,0,0,0,1,0,0,0
139,362280.99,0,0,587086.11,949367.1,0,1,0,0,0,0,0
15,8651.37,21242,12590.63,0,0,0,0,0,1,0,0,0
356,941.53,30273,29331.47,177523.23,178464.77,0,0,1,0,0,0,0
12,346660.42,0,0,1355583.34,1964617.69,0,0,0,0,1,0,0
299,956961.3,0,0,10391648.79,11348610.09,0,0,0,0,1,0,0
227,7226.38,0,0,0,0,0,0,0,1,0,0,0
350,27250.56,16810970.57,16838221.13,239977.19,212726.63,1,0,0,0,0,0,0
408,14603.68,0,0,1273702.66,1288306.34,0,1,0,0,0,0,0
12,123835.39,0,0,4301337.98,4501076.43,0,1,0,0,0,0,0
163,58541.66,294,0,725111.69,783653.35,0,1,0,0,0,0,0
160,276642.34,19698,0,0,276642.34,0,1,0,0,0,0,0
409,441.26,6056,5614.74,6493251.93,6493693.19,0,0,1,0,0,0,0
252,382394.33,9964,392358.33,61558.49,0,1,0,0,0,0,0,0
376,37936.41,0,0,1401308.26,1439244.67,0,1,0,0,0,0,0
185,1050.28,0,0,0,0,0,0,0,1,0,0,0
134,557190.34,0,0,609446.78,1166637.12,0,0,0,0,1,0,0
11,15915.33,40198,24282.67,0,0,0,0,0,1,0,0,0
565,581849.31,0,0,2554973.2,3136822.51,0,1,0,0,0,0,0
299,1343.68,109122.15,107778.48,0,0,0,0,0,1,0,0,0
34,134564.7,0,0,1198005,2371701.53,0,1,0,0,0,0,0
325,142851.61,6730,149581.61,165673.99,22822.37,1,0,0,0,0,0,0
228,4669.36,0,4669.36,1728546.67,1723877.31,1,0,0,0,0,0,0
332,217972.36,0,0,1190654.31,1408626.67,0,1,0,0,0,0,0
161,208336.13,786205.91,994542.04,477730.36,269394.22,1,0,0,0,0,0,0
399,38745.08,326666.03,287920.95,0,0,0,0,0,1,0,0,0
352,133088.2,0,0,396176.97,529265.16,0,1,0,0,0,0,0
667,1339.24,69227,67887.76,0,0,0,0,0,1,0,0,0
181,216958.86,619.37,0,1745066.38,2157363.35,0,1,0,0,0,0,0
133,392763.54,9262,402025.54,688696.84,295933.3,1,0,0,0,0,0,0
142,11729.94,10825,0,0,0,0,0,0,1,0,0,0
36,26017.78,50295,24277.22,0,0,0,0,0,1,0,0,0
522,152667.58,2035490.67,2188158.25,194017.38,41349.8,1,0,0,0,0,0,0
325,13534.05,62357,48822.95,0,0,0,0,0,1,0,0,0
330,145643.06,0,0,321731.15,467374.21,0,0,0,0,1,0,0
162,10457.55,0,0,0,0,0,0,0,1,0,0,0
13,32299.5,28827,0,159520.1,124863.78,0,0,0,0,1,0,0
302,155716.83,967796.84,1123513.67,1049557.17,893840.34,1,0,0,0,0,0,0
212,92052.6,40182,132234.6,1023433.27,931380.67,1,0,0,0,0,0,0
404,5222.21,8645,3422.79,0,0,0,0,0,1,0,0,0
229,376918.9,0,0,713894.87,1090813.76,0,1,0,0,0,0,0
134,12720.74,0,0,0,0,0,0,0,1,0,0,0
426,937.8,141584,140646.2,0,0,0,0,0,1,0,0,0
45,208938.69,0,0,617412.86,826351.55,0,1,0,0,0,0,0
256,4557.88,0,0,0,0,0,0,0,1,0,0,0
214,9085.91,0,0,0,0,0,0,0,1,0,0,0
205,7236.09,130278,123041.91,0,0,0,0,0,1,0,0,0
684,134286.84,1459328.13,1593614.97,239809.5,105522.66,1,0,0,0,0,0,0
254,130941.89,50806,181747.89,9654.34,0,1,0,0,0,0,0,0
43,111055.29,107202.32,0,134608.4,245663.69,0,1,0,0,0,0,0
692,68995.44,10829,0,4155490.23,4224485.67,0,1,0,0,0,0,0
40,8701.81,13839.55,5137.74,0,0,0,0,0,1,0,0,0
182,1031990.31,19633,0,39037.99,1071028.3,0,0,0,0,1,0,0
322,224535.51,12536,0,1199010.84,1423546.35,0,1,0,0,0,0,0
187,21289.22,51126,29836.78,1830450.08,1851739.3,0,1,0,0,0,0,0
183,35212.23,5687.66,0,0,0,0,0,0,1,0,0,0
322,247838.01,2570,250408.01,425854.37,178016.35,1,0,0,0,0,0,0
156,41436.55,0,0,424349.26,465785.81,0,1,0,0,0,0,0
380,7255.78,10887,3631.22,0,0,0,0,0,1,0,0,0
181,48518.95,10323,0,0,0,0,0,0,1,0,0,0
131,41360.25,23016,0,0,0,0,0,0,1,0,0,0
134,253617.81,0,0,578260.49,831878.29,0,1,0,0,0,0,0
300,7309.49,235554.27,228244.77,0,0,0,0,0,1,0,0,0
180,86872.63,250655,337527.63,0,0,1,0,0,0,0,0,0
352,39897.35,156589,116691.65,0,0,0,0,0,1,0,0,0
164,103053.62,31367,0,1347567.62,1450621.24,0,1,0,0,0,0,0
131,185032.49,220535,405567.49,295984.89,110952.41,1,0,0,0,0,0,0
397,20929.46,190750.74,169821.27,0,0,0,0,0,1,0,0,0
306,391901.6,1227441.91,1619343.5,1209717.02,817815.42,1,0,0,0,0,0,0
323,32559.81,142,0,0,0,0,0,0,1,0,0,0
96,10975.8,2031208.72,2042184.52,702911.97,691936.17,1,0,0,0,0,0,0
203,214995.16,61922,0,0,214995.16,0,1,0,0,0,0,0
260,93802.33,13290,0,0,93802.33,0,1,0,0,0,0,0
38,372526.66,169136.43,0,590152.9,962679.56,0,0,0,0,1,0,0
129,83204.7,382305.41,299100.71,901337.57,984542.27,0,1,0,0,0,0,0
254,2293.79,0,0,1437061.33,1439355.12,0,1,0,0,0,0,0
327,51084.59,709649.33,760733.92,147534.1,96449.51,1,0,0,0,0,0,0
284,100069.44,136119,36049.56,100016.73,200086.18,0,1,0,0,0,0,0
12,3755.17,0,0,1916932.22,3520264.35,0,1,0,0,0,0,0
12,21991.16,233202.1,211210.93,0,0,0,0,0,1,0,0,0
201,94835.94,348378,443213.94,6194079.47,6099243.52,1,0,0,0,0,0,0
183,83047.98,2902635.09,2985683.07,1093042.72,1009994.74,1,0,0,0,0,0,0
251,93172.43,18873,0,0,93172.43,0,1,0,0,0,0,0
164,145508.52,997,146505.52,1277140.01,1131631.49,1,0,0,0,0,0,0
180,181797.88,36405,218202.88,494828.72,313030.84,1,0,0,0,0,0,0
349,60377.63,15428,0,0,0,0,0,0,1,0,0,0
